Season,Team,G_Bat,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP_x,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR_Bat,W,L,SV,G_Pitch,GS,IP,K/9,BB/9,HR/9,BABIP_y,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR_Pitch,OD,Current,AVG Salary,Median
1990,PHI,2211,6245,103,646,619,108,9.3%,14.7%,0.108,0.287,0.255,0.327,0.363,0.31,,89,5.3,-76,64.2,21.3,77,85,35,536,162,1449,5.22,4.04,0.77,0.272,70.6%,,,,4.09,,4.17,,7.8,13953667,13953667,377126,150000
1990,PIT,2217,6161,138,733,693,137,9.4%,14.8%,0.146,0.286,0.259,0.33,0.405,0.328,,104,4.6,32.9,55.8,31.7,95,67,43,526,162,1447,5.27,2.57,0.84,0.27,73.5%,,,,3.4,,3.77,,13.8,15656000,15656000,423135,350000
1990,SDP,2126,6218,123,673,628,138,8.2%,14.5%,0.123,0.285,0.257,0.32,0.38,0.313,,91,2,-65,-11.4,14.8,75,87,35,450,162,1461.2,5.71,3.12,0.91,0.28,73.4%,,,,3.68,,3.93,,14.4,18588334,18588334,502387,195000
1990,SEA,1824,6207,107,640,610,105,9.6%,12.1%,0.114,0.281,0.259,0.333,0.373,0.32,,97,-1.7,-26.5,31.2,20.7,77,85,41,473,162,1443.1,6.63,3.78,0.75,0.277,71.5%,,,,3.72,,3.76,,19.5,12841667,12841667,347072,160000
1990,SFG,2269,6216,152,719,681,109,7.9%,15.7%,0.134,0.291,0.262,0.323,0.396,0.321,,100,-2.7,-3.3,8.8,23.4,85,77,45,497,162,1446.1,4.9,3.44,0.82,0.284,71.8%,,,,4.08,,4.09,,7.8,20942333,20942333,523558,177500
1990,STL,2201,6127,73,599,554,221,8.4%,13.8%,0.102,0.288,0.256,0.32,0.358,0.306,,86,12.6,-88,72.6,20.4,70,92,39,526,162,1443.1,5.19,2.96,0.61,0.284,68.9%,,,,3.88,,3.59,,17.5,20923334,20923334,536496,125000
1990,TEX,2033,6177,110,676,641,115,9.3%,17.1%,0.117,0.3,0.259,0.331,0.376,0.319,,98,1.5,-9.3,-1.8,19.1,83,79,36,464,162,1444.2,6.21,3.88,0.7,0.279,71.0%,,,,3.83,,3.83,,16.3,15104372,15104372,387292,140000
1990,TOR,1679,6223,167,767,729,111,8.5%,15.6%,0.155,0.291,0.265,0.328,0.419,0.333,,107,-0.7,49.5,8.4,26.5,86,76,48,479,162,1454,5.52,2.75,0.89,0.282,73.1%,,,,3.84,,3.85,,17.4,18486834,18486834,474021,180000
1991,ATL,2326,6182,141,749,704,165,9.1%,14.7%,0.135,0.284,0.258,0.328,0.393,0.324,,99,2.8,-4.4,-62.3,14.3,94,68,48,507,162,1452.2,6,2.98,0.73,0.266,70.9%,,,,3.49,,3.63,,17.8,20423500,20423500,704259,400000
1991,BAL,1854,6257,170,686,660,50,8.4%,15.6%,0.147,0.278,0.254,0.319,0.401,0.323,,101,-3.2,0.7,14.6,22.3,67,95,42,534,162,1457.2,5.36,3.11,0.91,0.295,68.3%,,,,4.59,,4.07,,13.9,14627334,14627334,541753,250000
